IdResultado,Numero,FaixaEtaria,Equipe,TempoLiq,TempoOfic,ClassGeral,ClassSexo,ClassFaixa,TotalClassGeral,TotalClassSexo,TotalClassFaixa,Ritmo,Distancia,NoLugarDe,FezInscricao,IdAtleta,IdProva,TempoEquipe
346,4020,M2024 , LocaMotiva ,2009-10-21 00:49:01,2009-10-21 00:49:43,1937,1679,77,null,null,null,2009-10-21 06:07:00,8Km,null,true,52,32,null
347,4021,M3034 , LocaMotiva ,2009-10-21 00:51:10,2009-10-21 00:54:05,2153,1820,321,null,null,null,2009-10-21 06:23:00,8Km,null,true,21,32,null
348,4022,M2529 , LocaMotiva ,2009-10-21 00:53:37,2009-10-21 00:54:54,2365,1956,216,null,null,null,2009-10-21 06:42:00,8Km,null,true,58,32,null
349,4023,M2024 , LocaMotiva ,2009-10-21 00:54:50,2009-10-21 00:56:08,2464,2018,88,null,null,null,2009-10-21 06:51:00,8Km, Carlos Guiner Pereira ,true,55,32,null
350,4027,M2529 , LocaMotiva ,2009-10-21 00:59:28,2009-10-21 01:00:21,2695,2143,233,null,null,null,2009-10-21 07:26:00,8Km, Maciel da Silva Moraes ,true,34,32,null
351,4024,M3034 , LocaMotiva ,2009-10-21 01:01:42,2009-10-21 01:05:36,2771,2180,378,null,null,null,2009-10-21 07:42:00,8Km,null,true,37,32,null
352,4025,F2529 , LocaMotiva ,2009-10-21 01:23:25,2009-10-21 01:27:07,2977,702,81,null,null,null,2009-10-21 10:25:00,8Km,null,true,23,32,null
353,3506,M2529  , LocaMotiva  ,2009-10-29 00:43:20,2009-10-29 00:48:39,707,665,63,null,null,null,2009-10-29 04:48:00,9Km,null,true,11,33,null
354,3508,M3034 , LocaMotiva ,2009-10-29 00:43:27,2009-10-29 00:44:41,723,679,113,null,null,null,2009-10-29 04:49:00,9Km,null,true,4,33,null
355,3505,M3034 , LocaMotiva ,2009-10-29 00:43:55,2009-10-29 00:45:10,786,740,129,null,null,null,2009-10-29 04:52:00,9Km,null,true,2,33,null
356,3510,M3539 , LocaMotiva ,2009-10-29 00:44:42,2009-10-29 00:46:37,896,845,155,null,null,null,2009-10-29 04:58:00,9Km,null,true,1,33,null
357,3504,M3034 , LocaMotiva ,2009-10-29 00:46:16,2009-10-29 00:47:30,1078,1017,180,null,null,null,2009-10-29 05:08:00,9Km,null,true,21,33,null
358,3507,F2024 , LocaMotiva ,2009-10-29 00:46:42,2009-10-29 00:47:58,1143,66,3,null,null,null,2009-10-29 05:11:00,9Km,null,true,57,33,null
359,3513,M3034 , LocaMotiva ,2009-10-29 00:50:50,2009-10-29 00:52:06,1695,1547,265,null,null,null,2009-10-29 05:38:00,9Km,null,true,22,33,null
360,3512,M3034 , LocaMotiva ,2009-10-29 00:52:38,2009-10-29 00:53:53,1916,1729,301,null,null,null,2009-10-29 05:50:00,9Km,null,true,13,33,null
361,3503,M2024 , LocaMotiva ,2009-10-29 00:59:03,2009-10-29 01:02:41,2579,2211,99,null,null,null,2009-10-29 06:33:00,9Km,null,true,52,33,null
362,3509,M3034 , LocaMotiva ,2009-10-29 01:03:24,2009-10-29 01:04:40,2888,2405,421,null,null,null,2009-10-29 07:02:00,9Km,null,true,55,33,null
363,3514,M2024 , LocaMotiva ,2009-10-29 01:05:30,2009-10-29 01:11:19,2974,2449,110,null,null,null,2009-10-29 07:16:00,9Km,null,true,38,33,null
364,3511,M2529 , LocaMotiva ,2009-10-29 01:10:52,2009-10-29 01:12:49,3103,2524,257,null,null,null,2009-10-29 07:52:00,9Km,null,true,7,33,null
365,4032,M3539  , LocaMotiva ,2009-11-23 01:07:02,2009-11-23 01:12:56,2882,2235,383,null,null,null,2009-11-23 08:22:00,8Km,null,true,47,32,null
366,12944,M3539  , LocaMotiva  ,2009-11-23 00:50:04,2009-11-23 00:51:29,1376,1310,239,null,null,null,2009-11-23 05:00:00,10Km,null,true,1,34,null
367,6403,M3034 , LocaMotiva ,2009-11-23 00:51:13,2009-11-23 00:52:38,1594,1506,269,null,null,null,2009-11-23 05:07:00,10Km,null,true,4,34,null
368,4772,M2529 , LocaMotiva ,2009-11-23 00:53:13,2009-11-23 00:54:07,2006,1877,223,null,null,null,2009-11-23 05:19:00,10Km, Allisson Soares ,true,34,34,null
369,12942,M3034 , LocaMotiva ,2009-11-23 00:57:29,2009-11-23 01:00:26,3165,2886,494,null,null,null,2009-11-23 05:44:00,10Km,null,true,2,34,null
370,9900,M3034 , LocaMotiva ,2009-11-23 00:57:39,2009-11-23 00:59:33,3207,2920,499,null,null,null,2009-11-23 05:45:00,10Km,null,true,21,34,null
371,6402,M3034 , LocaMotiva ,2009-11-23 01:00:23,2009-11-23 01:03:19,3923,3508,610,null,null,null,2009-11-23 06:02:00,10Km,null,true,37,34,null
372,6405,M3034 , LocaMotiva ,2009-11-23 01:03:03,2009-11-23 01:06:02,4630,4053,704,null,null,null,2009-11-23 06:18:00,10Km,null,true,22,34,null
373,6401,M2024 , LocaMotiva ,2009-11-23 01:08:00,2009-11-23 01:17:53,5703,4802,210,null,null,null,2009-11-23 06:48:00,10Km,null,true,52,34,null
374,9902,M3034 , LocaMotiva ,2009-11-23 01:13:52,2009-11-23 01:16:50,6558,5365,906,null,null,null,2009-11-23 07:23:00,10Km,null,true,55,34,null
375,9903,M3034 , LocaMotiva ,2009-11-23 01:19:51,2009-11-23 01:29:44,6969,5610,947,null,null,null,2009-11-23 07:59:00,10Km, Rodrigo Lariente Ortiz ,true,59,34,null
376,9901,M2529 , LocaMotiva ,2009-11-23 01:20:40,2009-11-23 01:29:44,7002,5630,688,null,null,null,2009-11-23 08:04:00,10Km,null,true,11,34,null
377,1362,F2529 , LocaMotiva ,2009-11-23 01:21:04,2009-11-23 01:30:30,7025,1385,172,null,null,null,2009-11-23 08:06:00,10Km,null,true,49,34,null
378,6406,M3539 , LocaMotiva ,2009-11-23 01:21:05,2009-11-23 01:30:30,7026,5641,964,null,null,null,2009-11-23 08:06:00,10Km,null,true,47,34,null
379,12941,M3034 , LocaMotiva ,2009-11-23 01:26:55,2009-11-23 01:33:49,7196,5720,960,null,null,null,2009-11-23 08:41:00,10Km,null,true,12,34,null
380,0001,M2529 , LocaMotiva ,2009-11-23 00:26:00,2009-11-23 00:26:00,0,0,0,null,null,null,2009-11-23 05:19:00,4Km,alguem,true,57,36,null
