"id","start_number"," category"," team"," liquid_time"," official_time"," class_general"," class_sex"," class_category"," pace"," distance"," substitute"," notes"," athlete_id"," race_id"
275,2905,"M3034 ","Locamotiva ",20090622003334,20090622003531,1295,1114,188,,"6Km",,,22,24
276,2906,"M2024 ","Locamotiva ",20090622003613,20090622003827,1701,1409,76,,"6Km",,,52,24
277,2903,"M2024 ","Locamotiva ",20090622003635,20090622003832,1749,1445,78,,"6Km",,,48,24
278,2898,"M3034 ","Locamotiva ",20090622003712,20090622003927,1838,1512,254,,"6Km",,,37,24
279,2894,"M2529 ","Locamotiva ",20090622004336,20090622004537,2515,1876,270,,"6Km",,,53,24
280,2897,"M2529 ","Locamotiva ",20090622004458,20090622004702,2618,1917,280,,"6Km",,,11,24
281,2892,"M3034 ","Locamotiva ",20090622004532,20090622004659,2646,1928,323,,"6Km",,,12,24
282,2899,"F2529 ","Locamotiva ",20090622004815,20090622005214,2754,779,119,,"6Km",,,23,24
283,2891,"F2024 ","Locamotiva ",20090622005015,20090622005219,2826,820,47,,"6Km",,,9,24
284,2637,"M3034  ","Locamotiva",20090712005034,20090712005128,1028,,,,"10Km",,,21,25
285,2992,"M2024 ","Locamotiva",20090712004707,20090712005119,517,,,,"10Km",,,45,25
286,3560,"M3034 ","Locamotiva",20090712010758,20090712011421,3621,,,,"10Km",,,52,25
287,3592,"M3034 ","Locamotiva",20090712005845,20090712010300,2511,251,468,20090712000552,"10Km",,,2,25
288,3625,"F3034 ","Locamotiva",20090712012109,20090712012732,4232,,,,"10Km",,,9,25
289,3716,"M2529 ","Locamotiva",20090712011952,20090712012615,4214,,,,"10Km",,,11,25
290,3780,"M3034 ","Locamotiva",20090712011148,20090712011812,3890,,,,"10Km",,,37,25
291,3846,"F2529 ","Locamotiva",20090712011048,20090712011916,0,,,,"10Km",,,20,25
292,4192,"M3034 ","Locamotiva",20090712004829,20090712005118,686,,,,"10Km",,,4,25
293,4260,"M2024 ","Locamotiva",20090712010135,20090712010633,2943,,,,"10Km",,,6,25
294,4265,"M3034 ","Locamotiva",20090712011216,20090712011428,3913,,,,"10Km",,,55,25
295,119,"M3539 ","Locamotiva",20090712004854,20090712004857,759,713,147,20090712000453,"10Km",,,1,25
296,4833,"M2024 ","Locamotiva",20090712005153,20090712005815,1262,,,,"10Km",,,46,25
297,5046,"M3034 ","Locamotiva",20090712012123,20090712012722,4236,,,,"10Km",,,7,25
298,5050,"M2529 ","Locamotiva",20090712012229,20090712012728,4252,,,,"10Km",,,54,25
